Library,month,issues
Fenham,2011-10,4350
Fenham,2011-11,3938
Fenham,2011-12,3069
Fenham,2012-01,4243
Fenham,2012-02,3948
Fenham,2012-03,4373
Fenham,2012-04,3934
Fenham,2012-05,3946
Fenham,2012-06,4055
Fenham,2012-07,4501
Fenham,2012-08,4227
Fenham,2012-09,3773
Fenham,2012-10,4054
Fenham,2012-11,3870
Fenham,2012-12,2798
Fenham,2013-01,3347
Fenham,2013-02,3276
Fenham,2013-03,3300
Fenham,2013-04,2287
Fenham,2013-05,3682
Fenham,2013-06,3877
Fenham,2013-07,3867
Fenham,2013-08,3542
Fenham,2013-09,2813
Fenham,2013-10,1134
Fenham,2013-11,16
Fenham,2013-12,46
Fenham,2014-01,0
Fenham,2014-02,22
Fenham,2014-03,2613
Fenham,2014-04,2777
Fenham,2014-05,2546
Fenham,2014-06,2502
Fenham,2014-07,2676
Fenham,2014-08,2708
Fenham,2014-09,2395
Fenham,2014-10,2391
Fenham,2014-11,2041
Fenham,2014-12,1729
Fenham,2015-01,2212
Fenham,2015-02,2074
Fenham,2015-03,2260
Fenham,2015-04,1968
Fenham,2015-05,1639
Fenham,2015-06,1861
Fenham,2015-07,2608
Fenham,2015-08,2480
Fenham,2015-09,2237
Fenham,2015-10,2124
Fenham,2015-11,1967
Fenham,2015-12,1477
Fenham,2016-01,2065
Fenham,2016-02,1986
Fenham,2016-03,1967
Fenham,2016-04,2152
Fenham,2016-05,1338
Fenham,2016-06,1500
Fenham,2016-07,1611
Fenham,2016-08,1886
Fenham,2016-09,1666
Fenham,2016-10,1564
Fenham,2016-11,1387
Gosforth,2008-04,21548
Gosforth,2008-05,20575
Gosforth,2008-06,20987
Gosforth,2008-07,21823
Gosforth,2008-08,23465
Gosforth,2008-09,21263
Gosforth,2008-10,21313
Gosforth,2008-11,19264
Gosforth,2008-12,15364
Gosforth,2009-01,19692
Gosforth,2009-02,17932
Gosforth,2009-03,18988
Gosforth,2009-04,18323
Gosforth,2009-05,18318
Gosforth,2009-06,17402
Gosforth,2009-07,18827
Gosforth,2009-08,18353
Gosforth,2009-09,17519
Gosforth,2009-10,17386
Gosforth,2009-11,15811
Gosforth,2009-12,12195
Gosforth,2010-01,14429
Gosforth,2010-02,15671
Gosforth,2010-03,17029
Gosforth,2010-04,15758
Gosforth,2010-05,14877
Gosforth,2010-06,15281
Gosforth,2010-07,16613
Gosforth,2010-08,16981
Gosforth,2010-09,15755
Gosforth,2010-10,15253
Gosforth,2010-11,12976
Gosforth,2010-12,10740
Gosforth,2011-01,13674
Gosforth,2011-02,13197
Gosforth,2011-03,13704
Gosforth,2011-04,11938
Gosforth,2011-05,13046
Gosforth,2011-06,12901
Gosforth,2011-07,14014
Gosforth,2011-08,14955
Gosforth,2011-09,13354
Gosforth,2011-10,14131
Gosforth,2011-11,11812
Gosforth,2011-12,10609
Gosforth,2012-01,12588
Gosforth,2012-02,12128
Gosforth,2012-03,12978
Gosforth,2012-04,12070
Gosforth,2012-05,11520
Gosforth,2012-06,10970
Gosforth,2012-07,12727
Gosforth,2012-08,12902
Gosforth,2012-09,11240
Gosforth,2012-10,12116
Gosforth,2012-11,10213
Gosforth,2012-12,7881
Gosforth,2013-01,9093
Gosforth,2013-02,9067
Gosforth,2013-03,9388
Gosforth,2013-04,9273
Gosforth,2013-05,10704
Gosforth,2013-06,9753
Gosforth,2013-07,12130
Gosforth,2013-08,12883
Gosforth,2013-09,10116
Gosforth,2013-10,10042
Gosforth,2013-11,9495
Gosforth,2013-12,7460
Gosforth,2014-01,9522
Gosforth,2014-02,9194
Gosforth,2014-03,10220
Gosforth,2014-04,8603
Gosforth,2014-05,9029
Gosforth,2014-06,8277
Gosforth,2014-07,8750
Gosforth,2014-08,10009
Gosforth,2014-09,8853
Gosforth,2014-10,9173
Gosforth,2014-11,8185
Gosforth,2014-12,6787
Gosforth,2015-01,8439
Gosforth,2015-02,8001
Gosforth,2015-03,8871
Gosforth,2015-04,7680
Gosforth,2015-05,6239
Gosforth,2015-06,8282
Gosforth,2015-07,9504
Gosforth,2015-08,9434
Gosforth,2015-09,9084
Gosforth,2015-10,8453
Gosforth,2015-11,7792
Gosforth,2015-12,5860
Gosforth,2016-01,7580
Gosforth,2016-02,7682
Gosforth,2016-03,7282
Gosforth,2016-04,7771
Gosforth,2016-05,5430
Gosforth,2016-06,4835
Gosforth,2016-07,5808
Gosforth,2016-08,6271
Gosforth,2016-09,5400
Gosforth,2016-10,5897
Gosforth,2016-11,5677
High Heaton,2008-04,70
High Heaton,2008-05,57
High Heaton,2008-06,99
High Heaton,2008-07,78
High Heaton,2008-08,0
High Heaton,2008-09,3420
High Heaton,2008-10,6330
High Heaton,2008-11,5620
High Heaton,2008-12,3823
High Heaton,2009-01,5706
High Heaton,2009-02,5791
High Heaton,2009-03,5483
High Heaton,2009-04,5361
High Heaton,2009-05,5100
High Heaton,2009-06,4803
High Heaton,2009-07,5595
High Heaton,2009-08,5201
High Heaton,2009-09,5107
High Heaton,2009-10,5163
High Heaton,2009-11,4301
High Heaton,2009-12,3508
High Heaton,2010-01,4530
High Heaton,2010-02,4476
High Heaton,2010-03,4459
High Heaton,2010-04,4198
High Heaton,2010-05,4121
High Heaton,2010-06,4034
High Heaton,2010-07,5387
High Heaton,2010-08,4813
High Heaton,2010-09,4510
High Heaton,2010-10,4579
High Heaton,2010-11,3514
High Heaton,2010-12,2938
High Heaton,2011-01,4109
High Heaton,2011-02,4323
High Heaton,2011-03,4351
High Heaton,2011-04,3469
High Heaton,2011-05,4065
High Heaton,2011-06,3626
High Heaton,2011-07,4325
High Heaton,2011-08,4507
High Heaton,2011-09,3885
High Heaton,2011-10,3896
High Heaton,2011-11,3627
High Heaton,2011-12,2597
High Heaton,2012-01,3930
High Heaton,2012-02,3354
High Heaton,2012-03,3171
High Heaton,2012-04,3185
High Heaton,2012-05,2928
High Heaton,2012-06,3042
High Heaton,2012-07,3728
High Heaton,2012-08,4651
High Heaton,2012-09,3519
High Heaton,2012-10,3357
High Heaton,2012-11,3391
High Heaton,2012-12,2182
High Heaton,2013-01,2885
High Heaton,2013-02,2887
High Heaton,2013-03,2694
High Heaton,2013-04,2799
High Heaton,2013-05,3018
High Heaton,2013-06,4245
High Heaton,2013-07,1434
High Heaton,2013-08,1647
High Heaton,2013-09,1456
High Heaton,2013-10,1449
High Heaton,2013-11,1284
High Heaton,2013-12,830
High Heaton,2014-01,1318
High Heaton,2014-02,1126
High Heaton,2014-03,931
High Heaton,2014-04,1115
High Heaton,2014-05,1142
High Heaton,2014-06,880
High Heaton,2014-07,1084
High Heaton,2014-08,1321
High Heaton,2014-09,968
High Heaton,2014-10,1335
High Heaton,2014-11,1089
High Heaton,2014-12,733
High Heaton,2015-01,1064
High Heaton,2015-02,1130
High Heaton,2015-03,1344
High Heaton,2015-04,1081
High Heaton,2015-05,944
High Heaton,2015-06,1265
High Heaton,2015-07,1421
High Heaton,2015-08,1405
High Heaton,2015-09,1106
High Heaton,2015-10,1217
High Heaton,2015-11,1390
High Heaton,2015-12,887
High Heaton,2016-01,1163
High Heaton,2016-02,1119
High Heaton,2016-03,1201
High Heaton,2016-04,1330
High Heaton,2016-05,1441
High Heaton,2016-06,1423
High Heaton,2016-07,1423
High Heaton,2016-08,1404
High Heaton,2016-09,1594
High Heaton,2016-10,1605
High Heaton,2016-11,1445
Jesmond,2008-04,7429
Jesmond,2008-05,7213
Jesmond,2008-06,6826
Jesmond,2008-07,7774
Jesmond,2008-08,7784
Jesmond,2008-09,7160
Jesmond,2008-10,6982
Jesmond,2008-11,6766
Jesmond,2008-12,5682
Jesmond,2009-01,6692
Jesmond,2009-02,6554
Jesmond,2009-03,6640
Jesmond,2009-04,6819
Jesmond,2009-05,6075
Jesmond,2009-06,5274
Jesmond,2009-07,6167
Jesmond,2009-08,5188
Jesmond,2009-09,4850
Jesmond,2009-10,5756
