station,station name,station name english,on_line
tokyo-metro-和光市駅,和光市駅,Wakōshi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-地下鉄成増駅,地下鉄成増駅,Chikatetsu-Narimasu,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-地下鉄赤塚駅,地下鉄赤塚駅,Chikatetsu-Akatsuka,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-平和台駅,平和台駅,Heiwadai,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-氷川台駅,氷川台駅,Hikawadai,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-小竹向原駅,小竹向原駅,Kotake-Mukaihara,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-千川駅,千川駅,Senkawa,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-要町駅,要町駅,Kanamechō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-池袋駅,池袋駅,Ikebukuro,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-東池袋駅,東池袋駅,Higashi-Ikebukuro,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-護国寺駅,護国寺駅,Gokokuji,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-江戸川橋駅,江戸川橋駅,Edogawabashi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-飯田橋駅,飯田橋駅,Iidabashi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-市ケ谷駅,市ケ谷駅,Ichigaya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-麹町駅,麹町駅,Kōjimachi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-永田町駅,永田町駅,Nagatachō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-桜田門駅,桜田門駅,Sakuradamon,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-有楽町駅,有楽町駅,Yūrakuchō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-銀座一丁目駅,銀座一丁目駅,Ginza-itchōme,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-新富町駅,新富町駅,Shintomichō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-月島駅,月島駅,Tsukishima,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-豊洲駅,豊洲駅,Toyosu,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-辰巳駅,辰巳駅,Tatsumi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-新木場駅,新木場駅,Shin-Kiba,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Y
tokyo-metro-渋谷駅,渋谷駅,Shibuya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-表参道駅,表参道駅,Omotesandō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-青山一丁目駅,青山一丁目駅,Aoyama-itchōme,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-永田町駅,永田町駅,Nagatachō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-半蔵門駅,半蔵門駅,Hanzōmon,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-九段下駅,九段下駅,Kudanshita,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
tokyo-metro-神保町駅,神保町駅,Jimbōchō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-Z
